# Nafis - Task 4: Age and Physical Workload (FIFA World Cup 2026, HIT140 group project)
# Source: Sofascore (api.sofascore.com), FIFA World Cup 2026 tournament id 16 / season id 58210. Population = all outfield players (excludes goalkeepers) with >=180 total minutes played across the tournament AND at least one match with tracked physical data (n=482; 2 players with >=180 min were dropped for missing date-of-birth data in the source: Lionel Messi, Kevin Pina). distance_km_per90 = total km covered across tracked matches / (total minutes played / 90). Age computed as of tournament start (2026-06-11).
player,team,position,age,minutes_played,distance_km_per90,age_group
Amir Al-Ammari,Iraq,M,28,248,10.510,25 and older
Salem Al-Dawsari,Saudi Arabia,M,34,246,10.573,25 and older
Daizen Maeda,Japan,F,28,245,11.090,25 and older
Thapelo Maseko,South Africa,M,23,245,9.500,Under 25
Kim Min-jae,South Korea,D,29,245,9.437,25 and older
Mohammad Mohebi,Iran,F,27,245,7.659,25 and older
Nicolas Pépé,Côte d'Ivoire,F,31,244,9.166,25 and older
Gustavo Velázquez,Paraguay,D,35,244,7.827,25 and older
Joe Bell,New Zealand,M,27,244,11.069,25 and older
Thiago Almada,Argentina,M,25,243,9.519,25 and older
Nicolás Otamendi,Argentina,D,38,243,9.011,25 and older
Cristian Martínez,Panama,M,29,243,10.081,25 and older
Deveron Fonville,Curaçao,D,23,243,9.159,Under 25
Anis Ben Slimane,Tunisia,M,25,242,10.908,25 and older
Hamdy Fathy,Egypt,M,31,241,8.070,25 and older
Abdulelah Al-Amri,Saudi Arabia,D,29,240,9.071,25 and older
Maxence Lacroix,France,D,26,240,9.548,25 and older
Akram Afif,Qatar,M,29,239,8.650,25 and older
Edson Álvarez,Mexico,M,28,239,7.908,25 and older
Kevin Danso,Austria,D,27,239,6.579,25 and older
Xaver Schlager,Austria,M,28,239,10.457,25 and older
Firas Al-Buraikan,Saudi Arabia,F,26,239,10.337,25 and older
Otabek Shukurov,Uzbekistan,M,29,238,10.872,25 and older
Federico Valverde,Uruguay,M,27,237,9.767,25 and older
Benjamin Tahirović,Bosnia & Herzegovina,M,23,237,11.073,Under 25
Jürgen Locadia,Curaçao,F,32,237,8.822,25 and older
Ibrahim Bayesh,Iraq,M,26,237,9.927,25 and older
Pape Gueye,Senegal,M,27,236,10.667,25 and older
Lucas Paquetá,Brazil,M,28,236,9.915,25 and older
Ali Ahmed,Canada,M,25,236,9.728,25 and older
Romelu Lukaku,Belgium,F,33,236,8.756,25 and older
Marcus Pedersen,Norway,M,25,236,10.209,25 and older
Ange-Yoan Bonny,Côte d'Ivoire,F,22,236,9.553,Under 25
Livano Comenencia,Curaçao,D,22,235,10.536,Under 25
José Luis Rodríguez,Panama,M,27,235,9.525,25 and older
Paul Wanner,Austria,M,20,234,11.031,Under 25
Oscar Bobb,Norway,M,22,233,10.456,Under 25
Brian Brobbey,Netherlands,F,24,232,8.341,Under 25
Nicolas Jackson,Senegal,F,24,232,10.338,Under 25
Shogo Taniguchi,Japan,D,34,231,8.677,25 and older
Jackson Irvine,Australia,M,33,229,11.456,25 and older
Marcus Rashford,England,F,28,229,11.138,25 and older
Yaya Sithole,South Africa,M,27,229,10.706,25 and older
Esmir Bajraktarević,Bosnia & Herzegovina,F,21,229,10.458,Under 25
Arthur Theate,Belgium,D,26,227,5.951,25 and older
Tim Payne,New Zealand,D,32,227,9.182,25 and older
Julian Ryerson,Norway,M,28,226,9.800,25 and older
Jonas Adjei Adjetey,Ghana,D,22,225,5.436,Under 25
Mohamed Kanno,Saudi Arabia,M,31,225,10.064,25 and older
Agustín Canobbio,Uruguay,M,27,225,10.752,25 and older
Andy Robertson,Scotland,D,32,225,10.004,25 and older
Joel Ordóñez,Ecuador,D,22,225,9.032,Under 25
Christian Pulišić,USA,F,27,224,11.025,25 and older
Amar Memić,Bosnia & Herzegovina,M,25,224,10.354,25 and older
Abbosbek Fayzullaev,Uzbekistan,M,22,223,9.908,Under 25
Ruben Providence,Haiti,M,24,223,9.726,Under 25
Aziz Behich,Australia,D,35,223,9.634,25 and older
Liberato Cacace,New Zealand,M,25,223,9.864,25 and older
Ismail Jakobs,Senegal,D,26,220,11.070,25 and older
Kenan Yıldız,Türkiye,F,21,219,9.921,Under 25
Alexander Bernhardsson,Sweden,M,27,219,9.588,25 and older
Nilson Angulo,Ecuador,M,22,218,9.756,Under 25
Mousa Tamari,Jordan,F,29,217,9.182,25 and older
Akmal Mozgovoy,Uzbekistan,M,26,217,10.920,25 and older
Isak Hien,Sweden,D,27,217,5.176,25 and older
Anthony Elanga,Sweden,F,24,216,9.500,Under 25
Junya Ito,Japan,M,33,215,9.607,25 and older
Gilberto Mora,Mexico,M,17,215,9.988,Under 25
Evidence Makgopa,South Africa,F,26,214,9.673,25 and older
Hassan Tambakti,Saudi Arabia,D,27,213,9.452,25 and older
Anass Salah-Eddine,Morocco,D,24,212,9.161,Under 25
Edmilson Junior,Qatar,M,31,212,9.556,25 and older
Ricardo Pepi,USA,F,23,212,10.838,Under 25
Saman Ghoddos,Iran,M,32,211,10.732,25 and older
Mikel Merino,Spain,M,29,210,12.844,25 and older
Lucas Herrington,Australia,D,18,210,8.640,Under 25
Sarpreet Singh,New Zealand,M,27,210,10.821,25 and older
Eberechi Eze,England,M,27,209,10.834,25 and older
Christ Inao Oulaï,Côte d'Ivoire,M,20,208,10.112,Under 25
Nasser Al-Dawsari,Saudi Arabia,M,27,206,11.993,25 and older
Seung Ho Paik,South Korea,M,29,206,10.105,25 and older
Michael Boxall,New Zealand,D,37,206,5.151,25 and older
Juan Sanabria,Uruguay,M,26,205,10.550,25 and older
